kappa,system,n,N,q_star,p_at_q_star,cost_at_q_star,eta_star,eta_q_Nplus1,eta_q_Nplus2,rel_eta_qN2_vs_qN1
3.23511,H3,100,2,3,10.898979485566356,693892.9485,3.442417400030098e-06,3.442417400030098e-06,3.254721988025379e-06,-0.05452430376487116
3.23511,H3,100,3,3,15.615773105863909,817786.9924999999,3.3606324448495376e-06,3.2860308364727596e-06,3.0986151544596284e-06,-0.05703406064634009
3.23511,H3,100,4,2,14.72841614740048,840563.4815,3.1999709221944314e-06,2.9531846096231942e-06,2.780492254709877e-06,-0.058476654100994896
3.23511,H3,100,5,2,17.774964387392124,944234.0144999999,3.0477518580909526e-06,2.6047721678344375e-06,2.4531464212505612e-06,-0.05821075196374481
3.23511,H3,100,6,2,20.80776406404415,1047904.5475,2.896567436995792e-06,2.287542494467585e-06,2.157407280575639e-06,-0.05688865418092892
3.23511,H4,150,2,3,10.898979485566356,1942421.0852500002,1.2297380716329869e-06,1.2297380716329869e-06,1.1816120993327287e-06,-0.039135140572130966
3.23511,H4,150,3,3,15.615773105863909,2222762.15125,1.2364262628936218e-06,1.2283555784556868e-06,1.1740056473206189e-06,-0.044246089722161486
3.23511,H4,150,4,3,19.69535971483266,2503103.21725,1.1906752546154346e-06,1.1426504210075705e-06,1.0875472114642922e-06,-0.04822403119117491
3.23511,H4,150,5,2,17.774964387392124,2511432.68425,1.1458762124952043e-06,1.0345324209419191e-06,9.82743242268098e-07,-0.05006046946954856
3.23511,H4,150,6,2,20.80776406404415,2746438.48375,1.1051863012143135e-06,9.268730524937516e-07,8.801664930345644e-07,-0.05039153887743664
3.23511,H5,200,2,3,10.898979485566356,4109336.997,5.812784790876057e-07,5.812784790876057e-07,5.644854248088343e-07,-0.02888986068283539
3.23511,H5,200,3,4,19.165151389911678,4925313.173,5.995747873010025e-07,5.995747873010025e-07,5.784767700080241e-07,-0.03518829967476045
3.23511,H5,200,4,3,19.69535971483266,5097713.173,5.846509914118813e-07,5.723637057008118e-07,5.491079886632201e-07,-0.04063101277380454
3.23511,H5,200,5,3,23.747340124470732,5591901.261,5.664389232944365e-07,5.289496440102331e-07,5.057647935965531e-07,-0.043831866938985
3.23511,H5,200,6,2,20.80776406404415,5522960.195,5.495832094021293e-07,4.81651384824276e-07,4.598240163242589e-07,-0.04531777378358537
