family,n,delta,tol,method,macrocycles,converged,residual,error,F_total_including_terminal,J,LU,solves,matvecs,time_median_s,time_iqr_s,time_min_s,work_k1p0,work_k1p298,work_k1p7,work_k3p23511
G5,100,0.3000000000000004,1e-10,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0003732,3.250000000000003e-05,0.0003577,712440.0,714242.8999999999,716675.0,725962.4155000001
G5,100,0.3000000000000004,1e-10,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0003412,2.7300000000000013e-05,0.0003238,925740.0,928839.2,933020.0,948985.1440000001
G5,100,0.3000000000000004,1e-12,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0003643,2.115e-05,0.00035610000000000004,712440.0,714242.8999999999,716675.0,725962.4155000001
G5,100,0.3000000000000004,1e-12,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.000335,2.2199999999999998e-05,0.0003219,925740.0,928839.2,933020.0,948985.1440000001
G5,100,0.5999999999999996,1e-08,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0003688,2.540000000000002e-05,0.0003567,712440.0,714242.8999999999,716675.0,725962.4155000001
G5,100,0.5999999999999996,1e-08,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0003345,1.7199999999999984e-05,0.000322,925740.0,928839.2,933020.0,948985.1440000001
G5,100,0.5999999999999996,1e-10,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0003725,2.224999999999997e-05,0.00035810000000000003,712440.0,714242.8999999999,716675.0,725962.4155000001
G5,100,0.5999999999999996,1e-10,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0003263,2.015000000000003e-05,0.0003214,925740.0,928839.2,933020.0,948985.1440000001
G5,100,0.5999999999999996,1e-12,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.00037180000000000004,2.1799999999999988e-05,0.00035860000000000004,712440.0,714242.8999999999,716675.0,725962.4155000001
G5,100,0.5999999999999996,1e-12,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.00033580000000000003,1.675e-05,0.0003238,925740.0,928839.2,933020.0,948985.1440000001
G5,200,0.09999999999999927,1e-08,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.001268,6.294999999999999e-05,0.001173,4144880.0,4151465.8000000003,4160350.0,4194275.931
G5,200,0.09999999999999927,1e-08,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0018185,9.909999999999997e-05,0.0016504,6331480.0,6343638.4,6360040.0,6422672.488
G5,200,0.09999999999999927,1e-10,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.001304,0.0001401000000000002,0.0012014,4144880.0,4151465.8000000003,4160350.0,4194275.931
G5,200,0.09999999999999927,1e-10,P2oP2,1,1,0.0,0.0,5,2,2,5,0,0.0018308,0.00016180000000000014,0.0016547,6331480.0,6343638.4,6360040.0,6422672.488
G5,200,0.09999999999999927,1e-12,hatP2,1,1,0.0,0.0,5,2,1,11,6,0.0013068,0.0001114,0.0011991,4144880.0,4151465.8000000003,4160350.0,4194275.931
