system,n,delta,family,index,cycles,converged,residual,error,F_total_including_terminal,J,LU,solves,time_median_s,time_iqr_s,time_min_s,work_total_k1p0,work_total_k1p298,work_total_k1p7,work_total_k3p23511
H1,20,0.1,P,15,1,1,0.0,0.0,16,1,1,15,0.0002814,1.125000000000003e-05,0.0002715,29320.0,29466.019999999997,29663.0,30415.2039
H1,20,0.1,P,16,1,1,0.0,0.0,17,1,1,16,0.0002955,1.1900000000000018e-05,0.0002869,30960.0,31111.98,31317.0,32099.9061
H1,20,0.1,P,17,1,1,0.0,0.0,18,1,1,17,0.0003105,9.649999999999936e-06,0.0003019,32600.0,32757.94,32971.0,33784.6083
H1,20,0.1,P,18,1,1,0.0,0.0,19,1,1,18,0.0003274,6.950000000000033e-06,0.0003186,34240.0,34403.9,34625.0,35469.3105
H1,20,0.1,P,19,1,1,0.0,0.0,20,1,1,19,0.0003427,1.1249999999999975e-05,0.000334,35880.0,36049.86,36279.0,37154.0127
H1,20,0.1,P,20,1,1,0.0,0.0,21,1,1,20,0.0003595,8.150000000000063e-06,0.0003498,37520.0,37695.82,37933.0,38838.7149
H1,20,0.1,S,1,3,1,0.0,0.0,4,3,3,3,0.0001367,3.949999999999988e-06,0.0001319,16600.0,16787.74,17041.0,18008.1193
H1,20,0.1,S,2,2,1,0.0,0.0,5,2,2,4,0.0001293,6.950000000000006e-06,0.0001236,14760.0,14897.08,15082.0,15788.1506
H1,20,0.1,S,3,2,1,0.0,0.0,7,2,2,6,0.0001619,3.1999999999999965e-06,0.0001564,18040.0,18189.0,18390.0,19157.555
H1,20,0.1,S,4,2,1,0.0,0.0,9,2,2,8,0.0001941,6.449999999999994e-06,0.000188,21320.0,21480.92,21698.0,22526.959400000003
H1,20,0.1,S,5,1,1,7.40450997286216e-13,1.8246516517995312e-13,6,1,1,5,0.0001201,4.1499999999999925e-06,0.0001149,12920.0,13006.419999999998,13123.0,13568.181900000001
H1,20,0.1,S,6,1,1,5.082780670206328e-15,1.2758510841771824e-15,7,1,1,6,0.0001365,4.74999999999998e-06,0.0001318,14560.0,14652.38,14777.0,15252.884100000001
H1,20,0.1,S,7,1,1,0.0,0.0,8,1,1,7,0.0001511,3.949999999999988e-06,0.0001471,16200.0,16298.339999999998,16431.0,16937.586300000003
H1,20,0.1,S,8,1,1,0.0,0.0,9,1,1,8,0.0001681,4.549999999999975e-06,0.0001633,17840.0,17944.3,18085.0,18622.288500000002
