kappa,system,n,N,q,p_reference,cost,eta
1.0,H5,200,5,3,23.747340124470732,5535800.0,5.72179365123314e-07
1.0,H5,200,5,4,29.730919862656236,6015800.0,5.638797129367466e-07
1.0,H5,200,5,5,35.72004514666935,6495800.0,5.504652267483631e-07
1.0,H5,200,5,6,41.420577856662135,6975800.0,5.338137284642371e-07
1.0,H5,200,5,7,44.91093483101497,7455800.0,5.102981977167932e-07
1.0,H5,200,6,2,20.80776406404415,5468200.0,5.550869005099136e-07
1.0,H5,200,6,3,27.78404875209022,6028200.0,5.514850320365006e-07
1.0,H5,200,6,4,34.76991603917054,6588200.0,5.38652823421824e-07
1.0,H5,200,6,5,41.760539492026695,7148200.0,5.220827428389394e-07
1.0,H5,200,6,6,48.75386567126981,7708200.0,5.042402234141599e-07
1.0,H5,200,6,7,55.49545416973504,8268200.0,4.857527769703465e-07
1.0,H5,200,6,8,59.93325909419152,8828200.0,4.6365415313124805e-07
1.298,H1,20,2,2,8.531128874149275,14170.259999999998,0.00015128315883988902
1.298,H1,20,2,3,10.898979485566356,16588.14,0.00014399861344759502
1.298,H1,20,2,4,11.65685424949238,19006.019999999997,0.00012921665633304773
1.298,H1,20,3,2,11.65685424949238,18268.14,0.0001344359280473563
1.298,H1,20,3,3,15.615773105863909,21491.98,0.0001278747467646734
1.298,H1,20,3,4,19.165151389911678,24715.82,0.0001194819187909728
1.298,H1,20,3,5,20.807764064044157,27939.659999999996,0.00010863862299570971
1.298,H1,20,4,2,14.72841614740048,22366.019999999997,0.0001202618391228532
1.298,H1,20,4,3,19.69535971483266,26395.82,0.00011291117535003108
1.298,H1,20,4,4,24.67579566188592,30425.62,0.00010536589987217353
1.298,H1,20,4,5,29.317821063276355,34455.42,9.804540355460102e-05
1.298,H1,20,4,6,31.874507866387546,38485.22,8.995158567038253e-05
1.298,H1,20,5,2,17.774964387392124,26463.899999999998,0.00010874402382736689
1.298,H1,20,5,3,23.747340124470732,31299.659999999996,0.00010119824079397802
1.298,H1,20,5,4,29.730919862656236,36135.42,9.387430883838849e-05
1.298,H1,20,5,5,35.72004514666935,40971.18,8.727383541094049e-05
1.298,H1,20,5,6,41.420577856662135,45806.94,8.1292874115163e-05
1.298,H1,20,5,7,44.91093483101497,50642.7,7.512793161772312e-05
1.298,H1,20,6,2,20.80776406404415,30561.78,9.931771609403346e-05
1.298,H1,20,6,3,27.78404875209022,36203.5,9.182709047805966e-05
1.298,H1,20,6,4,34.76991603917054,41845.22,8.480664054980858e-05
1.298,H1,20,6,5,41.760539492026695,47486.94,7.858901547164982e-05
1.298,H1,20,6,6,48.75386567126981,53128.659999999996,7.315796201374226e-05
1.298,H1,20,6,7,55.49545416973504,58770.38,6.833886577807084e-05
1.298,H1,20,6,8,59.93325909419152,64412.1,6.354755697568135e-05
1.298,H2,50,2,2,8.531128874149275,121149.15000000001,1.7694896698677005e-05
1.298,H2,50,2,3,10.898979485566356,136193.85,1.7538744661925547e-05
1.298,H2,50,2,4,11.65685424949238,151238.55,1.6238547345230642e-05
1.298,H2,50,3,2,11.65685424949238,149193.85,1.6461096450014737e-05
1.298,H2,50,3,3,15.615773105863909,169253.45,1.6237669010418547e-05
1.298,H2,50,3,4,19.165151389911678,189313.05,1.559899646692239e-05
1.298,H2,50,3,5,20.807764064044157,209372.65000000002,1.4497243022755408e-05
1.298,H2,50,4,2,14.72841614740048,177238.55,1.5176036472079675e-05
1.298,H2,50,4,3,19.69535971483266,202313.05,1.4731541344109327e-05
1.298,H2,50,4,4,24.67579566188592,227387.55,1.4098497611099642e-05
1.298,H2,50,4,5,29.317821063276355,252462.05,1.3381003436133356e-05
1.298,H2,50,4,6,31.874507866387546,277536.55,1.2473335724154239e-05
1.298,H2,50,5,2,17.774964387392124,205283.25,1.4018635091587132e-05
1.298,H2,50,5,3,23.747340124470732,235372.65,1.3457258222013653e-05
1.298,H2,50,5,4,29.730919862656236,265462.05,1.2778427564636378e-05
1.298,H2,50,5,5,35.72004514666935,295551.45,1.2098441810764307e-05
1.298,H2,50,5,6,41.420577856662135,325640.85,1.1435229354734902e-05
1.298,H2,50,5,7,44.91093483101497,355730.25,1.0695411207050473e-05
1.298,H2,50,6,2,20.80776406404415,233327.94999999998,1.3008840944123112e-05
1.298,H2,50,6,3,27.78404875209022,268432.25,1.2384734211788757e-05
1.298,H2,50,6,4,34.76991603917054,303536.55,1.1691351605820324e-05
1.298,H2,50,6,5,41.760539492026695,338640.85,1.1020382987939307e-05
1.298,H2,50,6,6,48.75386567126981,373745.15,1.0399558335729648e-05
1.298,H2,50,6,7,55.49545416973504,408849.44999999995,9.82342304862149e-06
1.298,H2,50,6,8,59.93325909419152,443953.75,9.219950489602316e-06
1.298,H3,100,2,2,8.531128874149275,621502.8999999999,3.44925453184937e-06
1.298,H3,100,2,3,10.898979485566356,681592.2999999999,3.504542465744682e-06
1.298,H3,100,2,4,11.65685424949238,741681.7,3.3112511129761344e-06
1.298,H3,100,3,2,11.65685424949238,724592.2999999999,3.389346470558729e-06
1.298,H3,100,3,3,15.615773105863909,804711.5,3.4152382561594127e-06
1.298,H3,100,3,4,19.165151389911678,884830.7,3.3374673800223046e-06
1.298,H3,100,3,5,20.807764064044157,964949.8999999999,3.1455790496152294e-06
1.298,H3,100,4,2,14.72841614740048,827681.7,3.249774278032868e-06
1.298,H3,100,4,3,19.69535971483266,927830.7,3.212205697146966e-06
1.298,H3,100,4,4,24.67579566188592,1027979.7,3.118566281482796e-06
1.298,H3,100,4,5,29.317821063276355,1128128.7,2.994512557426534e-06
